date,student,target,category,success
2022-09-05,Alan,a,name,False
2022-09-05,Alan,a,sound,True
2022-09-05,Alan,b,name,False
2022-09-05,Alan,b,sound,True
2022-09-05,Alan,c,name,False
2022-09-05,Alan,c,sound,True
2022-09-05,Alan,d,name,False
2022-09-05,Alan,d,sound,True
2022-09-05,Alan,e,name,False
2022-09-05,Alan,e,sound,True
2022-09-05,Alan,f,name,False
2022-09-05,Alan,f,sound,True
2022-09-05,Alan,g,name,False
2022-09-05,Alan,g,sound,True
2022-09-05,Alan,h,name,False
2022-09-05,Alan,h,sound,True
2022-09-05,Alan,i,name,False
2022-09-05,Alan,i,sound,True
2022-09-05,Alan,j,name,False
2022-09-05,Alan,j,sound,True
2022-09-05,Alan,k,name,False
2022-09-05,Alan,k,sound,True
2022-09-05,Alan,l,name,False
2022-09-05,Alan,l,sound,True
2022-09-05,Alan,m,name,False
2022-09-05,Alan,m,sound,True
2022-09-05,Alan,n,name,False
2022-09-05,Alan,n,sound,True
2022-09-05,Alan,o,name,False
2022-09-05,Alan,o,sound,True
2022-09-05,Alan,p,name,False
2022-09-05,Alan,p,sound,True
2022-09-05,Alan,q,name,False
2022-09-05,Alan,q,sound,True
2022-09-05,Alan,r,name,False
2022-09-05,Alan,r,sound,True
2022-09-05,Alan,s,name,False
2022-09-05,Alan,s,sound,True
2022-09-05,Alan,t,name,False
2022-09-05,Alan,t,sound,True
2022-09-05,Alan,u,name,False
2022-09-05,Alan,u,sound,True
2022-09-05,Alan,v,name,False
2022-09-05,Alan,v,sound,True
2022-09-05,Alan,w,name,False
2022-09-05,Alan,w,sound,True
2022-09-05,Alan,x,name,False
2022-09-05,Alan,x,sound,True
2022-09-05,Alan,y,name,False
2022-09-05,Alan,y,sound,True
2022-09-05,Alan,z,name,False
2022-09-05,Alan,z,sound,True
2022-09-05,Alan,A,name,False
2022-09-05,Alan,B,name,False
2022-09-05,Alan,C,name,True
2022-09-05,Alan,D,name,True
2022-09-05,Alan,E,name,True
2022-09-05,Alan,F,name,True
2022-09-05,Alan,G,name,False
2022-09-05,Alan,H,name,False
2022-09-05,Alan,I,name,False
2022-09-05,Alan,J,name,True
2022-09-05,Alan,K,name,False
2022-09-05,Alan,L,name,True
2022-09-05,Alan,M,name,True
2022-09-05,Alan,N,name,False
2022-09-05,Alan,O,name,True
2022-09-05,Alan,P,name,False
2022-09-05,Alan,Q,name,True
2022-09-05,Alan,R,name,True
2022-09-05,Alan,S,name,True
2022-09-05,Alan,T,name,True
2022-09-05,Alan,U,name,False
2022-09-05,Alan,V,name,False
2022-09-05,Alan,W,name,False
2022-09-05,Alan,X,name,True
2022-09-05,Alan,Y,name,False
2022-09-05,Alan,Z,name,True
2022-09-05,Alan,0,name,True
2022-09-05,Alan,1,name,True
2022-09-05,Alan,2,name,False
2022-09-05,Alan,3,name,False
2022-09-05,Alan,4,name,False
2022-09-05,Alan,5,name,False
2022-09-05,Alan,6,name,True
2022-09-05,Alan,7,name,False
2022-09-05,Alan,8,name,False
2022-09-05,Alan,9,name,True
2022-09-05,Alan,10,name,False
2022-09-05,Alan,11,name,False
2022-09-05,Alan,12,name,False
2022-09-05,Alan,13,name,True
2022-09-05,Alan,14,name,True
2022-09-05,Alan,15,name,False
2022-09-05,Alan,16,name,True
2022-09-05,Alan,17,name,False
2022-09-05,Alan,18,name,True
2022-09-05,Alan,19,name,True
2022-09-05,Alan,20,name,True
2022-09-05,Charles,a,name,True
2022-09-05,Charles,a,sound,False
2022-09-05,Charles,b,name,False
2022-09-05,Charles,b,sound,False
2022-09-05,Charles,c,name,False
2022-09-05,Charles,c,sound,False
2022-09-05,Charles,d,name,True
2022-09-05,Charles,d,sound,False
2022-09-05,Charles,e,name,True
2022-09-05,Charles,e,sound,False
2022-09-05,Charles,f,name,True
2022-09-05,Charles,f,sound,False
2022-09-05,Charles,g,name,False
2022-09-05,Charles,g,sound,False
2022-09-05,Charles,h,name,True
2022-09-05,Charles,h,sound,False
2022-09-05,Charles,i,name,False
2022-09-05,Charles,i,sound,False
2022-09-05,Charles,j,name,True
2022-09-05,Charles,j,sound,True
2022-09-05,Charles,k,name,False
2022-09-05,Charles,k,sound,True
2022-09-05,Charles,l,name,True
2022-09-05,Charles,l,sound,False
2022-09-05,Charles,m,name,False
2022-09-05,Charles,m,sound,False
2022-09-05,Charles,n,name,True
2022-09-05,Charles,n,sound,False
2022-09-05,Charles,o,name,True
2022-09-05,Charles,o,sound,True
2022-09-05,Charles,p,name,True
2022-09-05,Charles,p,sound,False
2022-09-05,Charles,q,name,False
2022-09-05,Charles,q,sound,False
2022-09-05,Charles,r,name,False
2022-09-05,Charles,r,sound,False
2022-09-05,Charles,s,name,False
2022-09-05,Charles,s,sound,False
2022-09-05,Charles,t,name,True
2022-09-05,Charles,t,sound,True
2022-09-05,Charles,u,name,False
2022-09-05,Charles,u,sound,False
2022-09-05,Charles,v,name,False
2022-09-05,Charles,v,sound,False
2022-09-05,Charles,w,name,True
2022-09-05,Charles,w,sound,True
2022-09-05,Charles,x,name,False
2022-09-05,Charles,x,sound,False
2022-09-05,Charles,y,name,False
2022-09-05,Charles,y,sound,False
2022-09-05,Charles,z,name,True
2022-09-05,Charles,z,sound,True
2022-09-05,Charles,A,name,True
2022-09-05,Charles,B,name,True
2022-09-05,Charles,C,name,True
2022-09-05,Charles,D,name,True
2022-09-05,Charles,E,name,True
2022-09-05,Charles,F,name,True
2022-09-05,Charles,G,name,True
2022-09-05,Charles,H,name,True
2022-09-05,Charles,I,name,False
2022-09-05,Charles,J,name,True
2022-09-05,Charles,K,name,True
2022-09-05,Charles,L,name,True
2022-09-05,Charles,M,name,True
2022-09-05,Charles,N,name,True
2022-09-05,Charles,O,name,True
2022-09-05,Charles,P,name,True
2022-09-05,Charles,Q,name,True
2022-09-05,Charles,R,name,True
2022-09-05,Charles,S,name,True
2022-09-05,Charles,T,name,True
2022-09-05,Charles,U,name,True
2022-09-05,Charles,V,name,True
2022-09-05,Charles,W,name,True
2022-09-05,Charles,X,name,True
2022-09-05,Charles,Y,name,True
2022-09-05,Charles,Z,name,True
2022-09-05,Charles,0,name,True
2022-09-05,Charles,1,name,True
2022-09-05,Charles,2,name,False
2022-09-05,Charles,3,name,True
2022-09-05,Charles,4,name,False
2022-09-05,Charles,5,name,False
2022-09-05,Charles,6,name,False
2022-09-05,Charles,7,name,True
2022-09-05,Charles,8,name,False
2022-09-05,Charles,9,name,True
2022-09-05,Charles,10,name,True
2022-09-05,Charles,11,name,True
2022-09-05,Charles,12,name,True
2022-09-05,Charles,13,name,False
2022-09-05,Charles,14,name,True
2022-09-05,Charles,15,name,True
2022-09-05,Charles,16,name,True
2022-09-05,Charles,17,name,True
2022-09-05,Charles,18,name,True
2022-09-05,Charles,19,name,False
2022-09-05,Charles,20,name,True
2022-09-05,Derek,a,name,True
2022-09-05,Derek,a,sound,False
2022-09-05,Derek,b,name,True
2022-09-05,Derek,b,sound,True
2022-09-05,Derek,c,name,True
2022-09-05,Derek,c,sound,True
2022-09-05,Derek,d,name,True
2022-09-05,Derek,d,sound,True
2022-09-05,Derek,e,name,False
2022-09-05,Derek,e,sound,True
2022-09-05,Derek,f,name,True
2022-09-05,Derek,f,sound,False
2022-09-05,Derek,g,name,False
2022-09-05,Derek,g,sound,False
2022-09-05,Derek,h,name,True
2022-09-05,Derek,h,sound,False
2022-09-05,Derek,i,name,False
2022-09-05,Derek,i,sound,False
2022-09-05,Derek,j,name,True
2022-09-05,Derek,j,sound,False
2022-09-05,Derek,k,name,True
2022-09-05,Derek,k,sound,False
2022-09-05,Derek,l,name,True
2022-09-05,Derek,l,sound,False
2022-09-05,Derek,m,name,True
2022-09-05,Derek,m,sound,False
2022-09-05,Derek,n,name,True
2022-09-05,Derek,n,sound,True
2022-09-05,Derek,o,name,True
2022-09-05,Derek,o,sound,False
2022-09-05,Derek,p,name,True
2022-09-05,Derek,p,sound,False
2022-09-05,Derek,q,name,False
2022-09-05,Derek,q,sound,False
2022-09-05,Derek,r,name,True
2022-09-05,Derek,r,sound,False
2022-09-05,Derek,s,name,False
2022-09-05,Derek,s,sound,False
2022-09-05,Derek,t,name,True
2022-09-05,Derek,t,sound,True
2022-09-05,Derek,u,name,True
2022-09-05,Derek,u,sound,True
2022-09-05,Derek,v,name,False
2022-09-05,Derek,v,sound,False
2022-09-05,Derek,w,name,True
2022-09-05,Derek,w,sound,False
2022-09-05,Derek,x,name,True
2022-09-05,Derek,x,sound,False
2022-09-05,Derek,y,name,False
2022-09-05,Derek,y,sound,True
2022-09-05,Derek,z,name,True
2022-09-05,Derek,z,sound,True
2022-09-05,Derek,A,name,False
2022-09-05,Derek,B,name,True
2022-09-05,Derek,C,name,False
2022-09-05,Derek,D,name,False
2022-09-05,Derek,E,name,False
2022-09-05,Derek,F,name,True
2022-09-05,Derek,G,name,False
2022-09-05,Derek,H,name,True
2022-09-05,Derek,I,name,True
2022-09-05,Derek,J,name,True
2022-09-05,Derek,K,name,False
2022-09-05,Derek,L,name,True
2022-09-05,Derek,M,name,True
2022-09-05,Derek,N,name,True
2022-09-05,Derek,O,name,True
2022-09-05,Derek,P,name,True
2022-09-05,Derek,Q,name,True
2022-09-05,Derek,R,name,True
2022-09-05,Derek,S,name,False
2022-09-05,Derek,T,name,False
2022-09-05,Derek,U,name,True
2022-09-05,Derek,V,name,False
2022-09-05,Derek,W,name,True
2022-09-05,Derek,X,name,True
2022-09-05,Derek,Y,name,False
2022-09-05,Derek,Z,name,True
2022-09-05,Derek,0,name,True
2022-09-05,Derek,1,name,False
2022-09-05,Derek,2,name,False
2022-09-05,Derek,3,name,True
2022-09-05,Derek,4,name,False
2022-09-05,Derek,5,name,True
2022-09-05,Derek,6,name,True
2022-09-05,Derek,7,name,False
2022-09-05,Derek,8,name,True
2022-09-05,Derek,9,name,True
2022-09-05,Derek,10,name,True
2022-09-05,Derek,11,name,True
2022-09-05,Derek,12,name,True
2022-09-05,Derek,13,name,True
2022-09-05,Derek,14,name,True
2022-09-05,Derek,15,name,True
2022-09-05,Derek,16,name,True
2022-09-05,Derek,17,name,False
2022-09-05,Derek,18,name,True
2022-09-05,Derek,19,name,True
